15 15
0 4 -8.84297257618248
0 7 1.7329699712177842
0 13 -6.0920597586965215
2 10 2.8714340768684377
2 12 -3.762110409258348
2 13 8.199445249959659
3 6 8.388409735298715
3 9 -3.968346058353056
4 0 -8.84297257618248
4 8 9.595851978012455
4 10 -1.9466890906839005
5 7 -6.829666898558759
5 12 -3.400771638570683
6 3 8.388409735298715
6 8 3.910470437624456
7 0 1.7329699712177842
7 5 -6.829666898558759
8 4 9.595851978012455
8 6 3.910470437624456
8 8 -4.2814026688104745
8 12 -2.677622018713657
8 14 -1.5928623388863734
9 3 -3.968346058353056
9 10 -6.078761512731874
10 2 2.8714340768684377
10 4 -1.9466890906839005
10 9 -6.078761512731874
10 11 -5.5603436413619995
10 13 5.5980540864961075
11 10 -5.5603436413619995
12 2 -3.762110409258348
12 5 -3.400771638570683
12 8 -2.677622018713657
13 0 -6.0920597586965215
13 2 8.199445249959659
13 10 5.5980540864961075
14 8 -1.5928623388863734
